,seqnames,start,end,width,strand,ZAlinkage,chgpt.mean
000011F.2,000011F,369001,372000,3000,*,Z,2.20348293705753
000011F.3,000011F,372001,695500,323500,*,Autosome,-0.30948146498184
000011F.4,000011F,695501,707500,12000,*,Z,1.3271774711683
000011F.5,000011F,707501,952500,245000,*,Autosome,-0.28264486906099
000011F.6,000011F,952501,957500,5000,*,Z,1.87177452779727
000011F.7,000011F,957501,4279500,3322000,*,Autosome,-0.145300591666635
000011F.8,000011F,4279501,4689500,410000,*,Autosome,0.0603511639365247
000011F.9,000011F,4689501,4696500,7000,*,Z,2.02710011462829
000011F.10,000011F,4696501,5593000,896500,*,Autosome,0.143512907923603
000011F.11,000011F,5593001,5663000,70000,*,Z,1.0261593548842
000012F.1,000012F,1,191000,191000,*,Autosome,0.142011196598476
000012F.2,000012F,191001,680500,489500,*,Autosome,-0.226359708100764
000012F.3,000012F,680501,703000,22500,*,Autosome,0.491839597409241
000012F.4,000012F,703001,709000,6000,*,Z,2.23614186863052
000012F.5,000012F,709001,814000,105000,*,Autosome,-0.258676240491053
000012F.6,000012F,814001,818500,4500,*,Z,1.92282606449735
000012F.7,000012F,818501,1009000,190500,*,Autosome,-0.315095315371826
000012F.8,000012F,1009001,1024000,15000,*,Z,1.1147435047928
000012F.9,000012F,1024001,1645500,621500,*,Autosome,-0.127014684383171
000012F.10,000012F,1645501,2208500,563000,*,Autosome,0.0603906741451421
000012F.11,000012F,2208501,2268000,59500,*,W,-1.64267712310628
000012F.12,000012F,2268001,2637000,369000,*,Autosome,-0.127874272696338
000012F.13,000012F,2637001,2643500,6500,*,Z,1.97631776736832
000012F.14,000012F,2643501,3065000,421500,*,Autosome,-0.0764917349494054
000012F.15,000012F,3065001,3168500,103500,*,Autosome,0.275299679031569
000012F.16,000012F,3168501,3174000,5500,*,Z,2.09938820208852
000012F.17,000012F,3174001,3554000,380000,*,Autosome,-0.0119364408818226
000012F.18,000012F,3554001,3559000,5000,*,Z,2.17551915183127
000012F.19,000012F,3559001,4633000,1074000,*,Autosome,0.0623278105075865
000012F.20,000012F,4633001,5502500,869500,*,Autosome,-0.0945603752037593
000012F.21,000012F,5502501,5555000,52500,*,Z,0.980726834994552
000014F.1,000014F,1,50000,50000,*,Z,0.838334407112727
000014F.2,000014F,50001,244000,194000,*,Autosome,0.29505865015163
000014F.3,000014F,244001,957500,713500,*,Autosome,-0.127202539220969
000014F.4,000014F,957501,972500,15000,*,Z,1.04166722531263
000014F.5,000014F,972501,3058500,2086000,*,Autosome,-0.104737476447815
000014F.6,000014F,3058501,3064000,5500,*,Z,2.0026829530854
000014F.7,000014F,3064001,5532000,2468000,*,Autosome,-0.15607445586525
000015F.1,000015F,1,163000,163000,*,Autosome,-0.318729996305612
000015F.2,000015F,163001,169000,6000,*,Z,2.37072182314139
000015F.3,000015F,169001,243000,74000,*,Autosome,-0.25902879340277
000015F.4,000015F,243001,287500,44500,*,Autosome,0.44095956240938
000015F.5,000015F,287501,1703500,1416000,*,Autosome,-0.244518784381128
000015F.6,000015F,1703501,1706500,3000,*,Z,2.55213989824699
000015F.7,000015F,1706501,2303000,596500,*,Autosome,-0.0994804424159033
000015F.8,000015F,2303001,2514000,211000,*,Autosome,0.226793202992003
000015F.9,000015F,2514001,2867500,353500,*,Autosome,-0.177881512167265
000015F.10,000015F,2867501,3163000,295500,*,Autosome,0.182621485705138
000015F.11,000015F,3163001,4602000,1439000,*,Autosome,-0.108492795528982
000015F.12,000015F,4602001,4742500,140500,*,Autosome,0.316565042531718
000015F.13,000015F,4742501,4751000,8500,*,Z,1.65234702093345
000015F.14,000015F,4751001,4983500,232500,*,Autosome,0.125538206887246
000015F.15,000015F,4983501,5018500,35000,*,Z,1.16327277606015
000015F.16,000015F,5018501,5513780,495280,*,Autosome,0.0161064836695985
000017F.1,000017F,1,304000,304000,*,Autosome,-0.217207398765914
000017F.2,000017F,304001,310500,6500,*,Z,1.86336115369647
000017F.3,000017F,310501,416000,105500,*,Autosome,-0.359073634553288
000017F.4,000017F,416001,546500,130500,*,Autosome,0.409920033086112
000017F.5,000017F,546501,668000,121500,*,Autosome,-0.301590256824253
000017F.6,000017F,668001,686500,18500,*,Z,0.897028006244667
000017F.7,000017F,686501,755500,69000,*,Autosome,-0.357994164009795
000017F.8,000017F,755501,806500,51000,*,Autosome,0.365086390849204
000017F.9,000017F,806501,1398500,592000,*,Autosome,-0.258785250644271
000017F.10,000017F,1398501,1415500,17000,*,Z,0.85087936143065
000017F.11,000017F,1415501,2005000,589500,*,Autosome,-0.0862240387896975
000017F.12,000017F,2005001,2054500,49500,*,Z,0.590421640800988
000017F.13,000017F,2054501,2416000,361500,*,Autosome,-0.11807462239486
000017F.14,000017F,2416001,3126000,710000,*,Autosome,0.0831159201855572
000017F.15,000017F,3126001,3857000,731000,*,Autosome,-0.224812429152762
000017F.16,000017F,3857001,3868000,11000,*,Z,1.31455715367503
000017F.17,000017F,3868001,4054500,186500,*,Autosome,-0.310884102085954
000017F.18,000017F,4054501,4059000,4500,*,W,-2.26387084099345
000017F.19,000017F,4059001,4410000,351000,*,Autosome,-0.100849998904868
000017F.20,000017F,4410001,4908990,498990,*,Autosome,0.323891021084317
000016F.1,000016F,1,22500,22500,*,Z,1.840503516022
000016F.2,000016F,22501,942000,919500,*,Autosome,0.106202717890984
000016F.3,000016F,942001,2061000,1119000,*,Autosome,-0.19530245859055
000016F.4,000016F,2061001,2067500,6500,*,Z,1.51709469429571
000016F.5,000016F,2067501,3750000,1682500,*,Autosome,-0.142442628065057
000016F.6,000016F,3750001,3755500,5500,*,Z,1.77337015166056
000016F.7,000016F,3755501,4905843,1150343,*,Autosome,-0.15185461131417
000018F.1,000018F,1,139500,139500,*,Z,0.782494490562956
000018F.2,000018F,139501,146000,6500,*,W,-2.44778943456286
000018F.3,000018F,146001,189000,43000,*,Autosome,0.12607866933061
000018F.4,000018F,189001,228500,39500,*,Z,1.14341476301811
000018F.5,000018F,228501,1148500,920000,*,Autosome,0.130382511108113
000018F.6,000018F,1148501,1449500,301000,*,Z,0.665554722014401
000018F.7,000018F,1449501,1453000,3500,*,W,-1.5854491874767
000018F.8,000018F,1453001,1485000,32000,*,Z,0.804231657318412
000018F.9,000018F,1485001,1559000,74000,*,Autosome,-0.196027430100528
000018F.10,000018F,1559001,1583000,24000,*,Z,1.31809918319759
000018F.11,000018F,1583001,1663500,80500,*,Autosome,0.163456406013784
000018F.12,000018F,1663501,1688500,25000,*,W,-0.986539826954795
000018F.13,000018F,1688501,1919000,230500,*,Autosome,-0.0531272275314809
000018F.14,000018F,1919001,1927000,8000,*,W,-1.97619559257324
000018F.15,000018F,1927001,1990000,63000,*,Z,0.766967710899141
000018F.16,000018F,1990001,2015500,25500,*,W,-0.594780264010495
000018F.17,000018F,2015501,2144000,128500,*,Autosome,0.327711953806167
000018F.18,000018F,2144001,2175500,31500,*,W,-1.31236245334744
000018F.19,000018F,2175501,2210500,35000,*,Autosome,0.223048971683655
000018F.20,000018F,2210501,2250000,39500,*,W,-1.1735688108278
000018F.21,000018F,2250001,2277500,27500,*,Autosome,0.258901967261487
000018F.22,000018F,2277501,2308000,30500,*,W,-0.669147345174138
000018F.23,000018F,2308001,2358000,50000,*,Autosome,0.393157380957661
000018F.24,000018F,2358001,2421000,63000,*,W,-1.00396565389456
000018F.25,000018F,2421001,2426500,5500,*,Z,1.97163197009819
000018F.26,000018F,2426501,2455500,29000,*,W,-1.06389586418464
000018F.27,000018F,2455501,2569500,114000,*,Autosome,0.353875571990005
000018F.28,000018F,2569501,2630500,61000,*,W,-1.10341028524994
000018F.29,000018F,2630501,3677000,1046500,*,Autosome,-0.111159361056884
000018F.30,000018F,3677001,3683500,6500,*,Z,2.71984524670717
000018F.31,000018F,3683501,3969000,285500,*,Autosome,-0.0230258271252304
000018F.32,000018F,3969001,4350500,381500,*,Autosome,-0.316946162803048
000018F.33,000018F,4350501,4356500,6000,*,Z,1.87374085179677
000018F.34,000018F,4356501,4862373,505873,*,Autosome,-0.203778457918647
000019F.1,000019F,1,45500,45500,*,Z,0.718401607408493
000019F.2,000019F,45501,484000,438500,*,Autosome,-0.0315174026731397
000019F.3,000019F,484001,590000,106000,*,Autosome,0.392817145528967
000019F.4,000019F,590001,1445000,855000,*,Autosome,-0.0483600019372339
000019F.5,000019F,1445001,1450500,5500,*,Z,1.67883323477857
000019F.6,000019F,1450501,1905000,454500,*,Autosome,-0.198110205587475
000019F.7,000019F,1905001,2246000,341000,*,Autosome,0.112264540196642
000019F.8,000019F,2246001,2328000,82000,*,Autosome,-0.379306988485882
000019F.9,000019F,2328001,2330500,2500,*,Z,2.19019182420586
000019F.10,000019F,2330501,3514500,1184000,*,Autosome,-0.0888132725621743
000019F.11,000019F,3514501,3535500,21000,*,Z,1.63329845158584
000019F.12,000019F,3535501,4368500,833000,*,Autosome,-0.335888690241732
000019F.13,000019F,4368501,4631500,263000,*,Autosome,-0.0228051958938584
000020F.1,000020F,1,354000,354000,*,Autosome,-0.112824107558838
000020F.2,000020F,354001,358500,4500,*,Z,1.93614910380435
000020F.3,000020F,358501,531000,172500,*,Autosome,0.0115651054399453
000020F.4,000020F,531001,1105500,574500,*,Autosome,-0.284866164808682
000020F.5,000020F,1105501,1194500,89000,*,Autosome,0.171876231947424
000020F.6,000020F,1194501,1205000,10500,*,W,-1.56135693702189
000020F.7,000020F,1205001,2658500,1453500,*,Autosome,-0.215176754642373
000020F.8,000020F,2658501,2670500,12000,*,Z,1.07144840407275
000020F.9,000020F,2670501,3009000,338500,*,Autosome,-0.236228353703298
000020F.10,000020F,3009001,3379000,370000,*,Autosome,0.0281851238853812
000020F.11,000020F,3379001,3387000,8000,*,Z,1.23073022745616
000020F.12,000020F,3387001,3634500,247500,*,Autosome,-0.184309890712548
000020F.13,000020F,3634501,3640000,5500,*,Z,2.35975371877578
000020F.14,000020F,3640001,3786000,146000,*,Autosome,-0.0393005621559766
000020F.15,000020F,3786001,3792000,6000,*,Z,2.23106337363051
000020F.16,000020F,3792001,4261000,469000,*,Autosome,-0.178556406626472
000020F.17,000020F,4261001,4586000,325000,*,Autosome,0.226552747164578
000020F.18,000020F,4586001,4606500,20500,*,Z,1.01577340800268
000021F.1,000021F,1,855000,855000,*,Autosome,-0.0524310458470536
000021F.2,000021F,855001,860000,5000,*,Z,2.71760919386082
000021F.3,000021F,860001,2148000,1288000,*,Autosome,-0.114489313520117
000021F.4,000021F,2148001,2165500,17500,*,Z,2.01364291917527
000021F.5,000021F,2165501,2662500,497000,*,Autosome,-0.123504703694199
000021F.6,000021F,2662501,2680000,17500,*,Z,1.00350800249888
000021F.7,000021F,2680001,3153000,473000,*,Autosome,-0.0442776909899419
000021F.8,000021F,3153001,3193000,40000,*,Z,0.718728966361163
000021F.9,000021F,3193001,3406000,213000,*,Autosome,-0.10092462085629
000021F.10,000021F,3406001,3455500,49500,*,Z,0.744757651317622
000021F.11,000021F,3455501,4171000,715500,*,Autosome,-0.116663251994883
000021F.12,000021F,4171001,4178500,7500,*,Z,1.52381986198884
000021F.13,000021F,4178501,4418429,239929,*,Autosome,-0.0550911935860743
000022F.1,000022F,1,1219500,1219500,*,Autosome,-0.0698576813906554
000022F.2,000022F,1219501,1249000,29500,*,Z,0.956048604547632
000022F.3,000022F,1249001,3171500,1922500,*,Autosome,-0.171049226121737
000022F.4,000022F,3171501,3223500,52000,*,Autosome,0.484250374794526
000022F.5,000022F,3223501,3964000,740500,*,Autosome,-0.231705920075214
000022F.6,000022F,3964001,4272000,308000,*,Autosome,0.102399850320737
000022F.7,000022F,4272001,4279889,7889,*,Z,1.83374477572763
000023F.1,000023F,1,1101500,1101500,*,Autosome,-0.0796104883658567
000023F.2,000023F,1101501,1149000,47500,*,Z,0.607312842845331
000023F.3,000023F,1149001,2970500,1821500,*,Autosome,-0.145267777492753
000023F.4,000023F,2970501,2978000,7500,*,Z,1.60853296408095
000023F.5,000023F,2978001,3196000,218000,*,Autosome,-0.0842521122681138
000023F.6,000023F,3196001,3222500,26500,*,Z,0.974246500352879
000023F.7,000023F,3222501,4217214,994714,*,Autosome,-0.202346123106011
000024F.1,000024F,1,428000,428000,*,Autosome,-0.292950765922888
000024F.2,000024F,428001,433500,5500,*,W,-2.48435695359615
000024F.3,000024F,433501,2383000,1949500,*,Autosome,-0.114859938295602
000024F.4,000024F,2383001,2569000,186000,*,Autosome,0.342136770568592
000024F.5,000024F,2569001,3364000,795000,*,Autosome,-0.133627008057549
000024F.6,000024F,3364001,3631000,267000,*,Autosome,0.253874626023271
000024F.7,000024F,3631001,3731500,100500,*,Autosome,-0.10150726680655
000024F.8,000024F,3731501,3736500,5000,*,Z,1.90557243987636
000024F.9,000024F,3736501,3739500,3000,*,W,-1.91924776442147
000024F.10,000024F,3739501,3745000,5500,*,Z,1.97386292847411
000024F.11,000024F,3745001,4069000,324000,*,Autosome,-0.0725344205036045
000024F.12,000024F,4069001,4192500,123500,*,Z,0.6352611014261
000024F.13,000024F,4192501,4199500,7000,*,Z,2.56563067862495
000024F.14,000024F,4199501,4213124,13624,*,Autosome,0.167036728011276
000025F.1,000025F,1,397500,397500,*,Autosome,-0.229658079155425
000025F.2,000025F,397501,402500,5000,*,Z,1.70369313075954
000025F.3,000025F,402501,834000,431500,*,Autosome,-0.116861230983081
000025F.4,000025F,834001,840000,6000,*,Z,2.32165261900946
000025F.5,000025F,840001,2883000,2043000,*,Autosome,0.0144848631535982
000025F.6,000025F,2883001,3427000,544000,*,Autosome,-0.143633830923871
000025F.7,000025F,3427001,3432500,5500,*,Z,1.81977159087444
000025F.8,000025F,3432501,3689000,256500,*,Autosome,-0.271838644574408
000025F.9,000025F,3689001,3718000,29000,*,Autosome,0.572574456641294
000025F.10,000025F,3718001,3872500,154500,*,Autosome,-0.241359283392307
000025F.11,000025F,3872501,4083500,211000,*,Autosome,0.218019165137496
000026F.1,000026F,1,243000,243000,*,Z,0.902503373602692
000026F.2,000026F,243001,248500,5500,*,Z,2.75732598436668
000026F.3,000026F,248501,260000,11500,*,Z,1.13439751610537
000026F.4,000026F,260001,262500,2500,*,W,-1.83240226318337
000026F.5,000026F,262501,861500,599000,*,Z,0.937043147773432
000026F.6,000026F,861501,909500,48000,*,Z,1.70072436851225
000026F.7,000026F,909501,1281500,372000,*,Z,0.958148664095222
000026F.8,000026F,1281501,1311500,30000,*,Z,2.10580121715201
000026F.9,000026F,1311501,2019000,707500,*,Z,1.00019574045235
000026F.10,000026F,2019001,2034500,15500,*,Z,2.41722091764057
000026F.11,000026F,2034501,3117000,1082500,*,Z,0.972001957285463
000026F.12,000026F,3117001,3817500,700500,*,Z,1.16971592783732
000026F.13,000026F,3817501,4046000,228500,*,Z,1.42016944525562
000027F.1,000027F,1,21000,21000,*,Autosome,0.0882404955132658
000027F.2,000027F,21001,50000,29000,*,W,-2.25052377556852
000027F.3,000027F,50001,112000,62000,*,Autosome,0.472755973147103
000027F.4,000027F,112001,1646500,1534500,*,Autosome,-0.162087809898664
000027F.5,000027F,1646501,1666000,19500,*,Z,0.964254061397462
000027F.6,000027F,1666001,3384000,1718000,*,Autosome,-0.0629378807853994
000027F.7,000027F,3384001,3391500,7500,*,Z,2.01546110437388
000027F.8,000027F,3391501,3789500,398000,*,Autosome,-0.143010896697695
000027F.9,000027F,3789501,3833500,44000,*,Autosome,0.332231547485525
000027F.10,000027F,3833501,3839500,6000,*,Z,2.67587148018847
000027F.11,000027F,3839501,3882472,42972,*,Z,0.669073457187616
000028F.1,000028F,1,566000,566000,*,Autosome,-0.00902613845076599
000028F.2,000028F,566001,588500,22500,*,Z,0.72798142284003
000028F.3,000028F,588501,594500,6000,*,Z,2.68942598761541
000028F.4,000028F,594501,1393000,798500,*,Autosome,-0.165105738543458
000028F.5,000028F,1393001,1402000,9000,*,Z,1.62324187584887
